"chart_index","chart","chart_type","threshold","validity","lambda","r","kappa","k","n_rep","mean_Rk","sd_Rk","se_Rk","ci_lower","ci_upper","mcse_ratio","censored_rate","lower_bound","ratio","n0","alpha_nominal","ks_engine"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.8,NA,1,500,2946.772,7509.84797510805,335.850611460615,2288.51689735144,3605.02710264856,0.11397237772743,0,5.5,535.776727272727,50,0.1,"asymp"
7,"Qtilde(lambda=0.70,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.8,NA,5,500,13767.792,23529.700683205,1052.28020435739,11705.3606978151,15830.2233021849,0.0764305710281934,0.002,25.5,539.913411764706,50,0.1,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.5,NA,1,500,1124.424,2021.45656235571,90.4022857398084,947.238775829877,1301.60922417012,0.0803987514850344,0,5.5,204.440727272727,50,0.1,"asymp"
8,"Qtilde(lambda=0.70,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,-0.5,NA,5,500,5506.272,8018.1480281683,358.582480892804,4803.46325196308,6209.08074803692,0.0651225513183519,0,25.5,215.932235294118,50,0.1,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,0.5,NA,1,500,22504.542,47083.327039776,2105.63039735586,18377.5822564297,26631.5017435703,0.0935646856246114,0.04,5.5,4091.73490909091,50,0.1,"asymp"
9,"Qtilde(lambda=0.70,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.7,0.5,NA,5,500,64797.166,78627.0675786556,3516.30935954687,57905.326296787,71689.005703213,0.0542664066441868,0.198,25.5,2541.06533333333,50,0.1,"asymp"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.9,NA,1,500,4029.074,9172.1193644542,410.189647933235,3225.1170632197,4833.03093678031,0.101807424716755,0,5.5,732.558909090909,50,0.1,"asymp"
10,"Qtilde(lambda=0.90,r=-0.90,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.9,NA,5,500,21017.416,32364.1884176757,1447.37050677068,18180.621934444,23854.210065556,0.0688652928014883,0.006,25.5,824.212392156863,50,0.1,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.8,NA,1,500,1705.112,3409.38538932193,152.472349840368,1406.27168567469,2003.95231432531,0.0894207241755195,0,5.5,310.020363636364,50,0.1,"asymp"
11,"Qtilde(lambda=0.90,r=-0.80,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.8,NA,5,500,8452.902,13665.2761196856,611.129726698433,7255.10974578927,9650.69425421073,0.0722982150625232,0,25.5,331.486352941176,50,0.1,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.5,NA,1,500,557.25,1139.56892998729,50.9630718499657,457.36421463254,657.13578536746,0.0914545928218317,0,5.5,101.318181818182,50,0.1,"asymp"
12,"Qtilde(lambda=0.90,r=-0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,-0.5,NA,5,500,2642.588,3609.04249264031,161.40128694458,2326.24729053021,2958.92870946979,0.0610769771695702,0,25.5,103.630901960784,50,0.1,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,0.5,NA,1,500,490.874,1052.07379811368,47.0501705985718,398.657360160334,583.090639839666,0.0958497915933046,0,5.5,89.2498181818182,50,0.1,"asymp"
13,"Qtilde(lambda=0.90,r=0.50,alpha=0.1)","qtilde",0.1,"marginal",0.9,0.5,NA,5,500,2361.39,3565.9430744082,159.473822365427,2048.82705168683,2673.95294831317,0.0675338772356225,0,25.5,92.6035294117647,50,0.1,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.8,1,NA,1,500,2084.206,5380.7722072819,240.635448538478,1612.56918746094,2555.84281253906,0.115456652815738,0,5.5,378.946545454545,50,0.1,"asymp"
14,"Qbar(lambda=0.80,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.8,1,NA,5,500,11460.192,24592.8081968113,1099.82381771368,9304.57692794184,13615.8070720582,0.0959690568634173,0.006,25.5,449.419294117647,50,0.1,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.8,2,NA,1,500,26267.716,53147.3926985383,2376.82365801615,21609.2272326856,30926.2047673144,0.0904845955398693,0.052,5.5,4775.94836363636,50,0.1,"asymp"
15,"Qbar(lambda=0.80,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.8,2,NA,5,500,64497.852,79293.0908533918,3546.09482588502,57547.6338555015,71448.0701444985,0.0549800453181762,0.208,25.5,2529.32752941176,50,0.1,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.9,1,NA,1,500,223.968,508.119598153875,22.7237992434388,179.430171890941,268.505828109059,0.101460026626299,0,5.5,40.7214545454545,50,0.1,"asymp"
16,"Qbar(lambda=0.90,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.9,1,NA,5,500,1062.978,1591.58822805755,71.1779894025025,923.471704279121,1202.48429572088,0.0669609243112299,0,25.5,41.6854117647059,50,0.1,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.9,2,NA,1,500,1467.26,3803.90566931964,170.115833131911,1133.83909386143,1800.68090613857,0.115941164573362,0,5.5,266.774545454545,50,0.1,"asymp"
17,"Qbar(lambda=0.90,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.9,2,NA,5,500,7997.008,17392.6277035071,777.821957047757,6472.50497780193,9521.51102219806,0.0972641214123779,0.002,25.5,313.608156862745,50,0.1,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.95,1,NA,1,500,67.558,119.362193774265,5.33803958445518,57.0956346664187,78.0203653335813,0.0790141742570114,0,5.5,12.2832727272727,50,0.1,"asymp"
18,"Qbar(lambda=0.95,r=1.00,alpha=0.1)","qbar",0.1,"marginal",0.95,1,NA,5,500,332.064,407.104916120475,18.2062853283946,296.380336464087,367.747663535913,0.0548276396369213,0,25.5,13.0221176470588,50,0.1,"asymp"
19,"Qbar(lambda=0.95,r=2.00,alpha=0.1)","qbar",0.1,"marginal",0.95,2,NA,1,500,313.608,673.311823719085,30.1114201578046,254.59070096735,372.62529903265,0.096016109786117,0,5.5,57.0196363636364,50,0.1,"asymp"
