"n","scenario","change_time","chart","n_started","n_conditioned","prechange_signal_rate","mean_delay","sd_delay","se_delay","delay_ci_lower","delay_ci_upper","delay_censored_rate","delay_estimand","mean_postchange_observations","PTS_10","PTS_10_lower","PTS_10_upper","PTS_25","PTS_25_lower","PTS_25_upper","PTS_obs_50","PTS_obs_100","PTS_obs_200"
5,"normal_scale",50,"p-EWMA(0.2)",10000,7599,0.2401,46.0785629688117,51.3095269611458,0.58859936403339,44.9249082153062,47.2322177223171,0,"ECD",230.392814844058,0.178707724700618,0.170256843866097,0.187483293716146,0.449664429530201,0.438507662629493,0.460872064024289,0.178707724700618,0.374917752335834,0.6167916831162
5,"normal_scale",1,"KS-EWMA(0.2)",8000,8000,0,40.494875,44.6131568649322,0.498790257204249,39.5172460958797,41.4725039041203,0,"ECD",202.474375,0.206125,0.197402592349263,0.215129509735316,0.492625,0.481675627543871,0.503581452006529,0.206125,0.41375,0.6605
5,"normal_scale",50,"KS-EWMA(0.2)",10000,7456,0.2544,42.4250268240343,47.2662196335108,0.547391335763843,41.3521398059372,43.4979138421315,0,"ECD",212.125134120172,0.204399141630901,0.195398893466436,0.213703841369114,0.475992489270386,0.464671449414543,0.487338255456402,0.204399141630901,0.399409871244635,0.646593347639485
5,"normal_scale",1,"Bakir Shew-KS",8000,8000,0,59.112375,64.6631727693473,0.722956249765369,57.6953807504599,60.5293692495401,0,"ECD",295.561875,0.16975,0.161682356548742,0.178134663318318,0.37125,0.360726903365135,0.381896688785914,0.16975,0.311125,0.519875
5,"normal_scale",50,"Bakir Shew-KS",10000,7471,0.2529,61.5742203185651,66.6278507429358,0.770843892845576,60.0633662885878,63.0850743485424,0,"ECD",307.871101592826,0.165439700174006,0.157186170882798,0.174037115507645,0.358586534600455,0.347786677555801,0.369531746957703,0.165439700174006,0.296747423370365,0.505554811939499
8,"cauchy",1,"Raw exact KS p",8000,8000,0,45.864875,47.5906211835635,0.532079320289447,44.8219995322327,46.9077504677673,0,"ECD",366.919,0.208,0.19924701324192,0.217033288956964,0.43975,0.428904595353837,0.450653240973159,0.131375,0.2425,0.43975
8,"cauchy",50,"Raw exact KS p",10000,7464,0.2536,47.5988745980707,50.0115155311497,0.578874208360817,46.4642811496835,48.7334680464579,0,"ECD",380.790996784566,0.20029474812433,0.191370279818168,0.209527564613883,0.42524115755627,0.414066621867079,0.436492607991251,0.1252679528403,0.236334405144695,0.42524115755627
8,"cauchy",1,"Qtilde(0.95,1)",8000,8000,0,40.313,43.8940328150033,0.490750205904769,39.3511295964267,41.2748704035734,0,"ECD",322.504,0.255375,0.245938140100668,0.265046684986326,0.495375,0.484423584949138,0.50633085476891,0.178875,0.2925,0.495375
8,"cauchy",50,"Qtilde(0.95,1)",10000,7361,0.2639,44.2272789023231,47.565465131245,0.554400149988973,43.1406546083447,45.3139031963014,0,"ECD",353.818231218584,0.21804102703437,0.208756437770867,0.227619763449809,0.458089933432957,0.446732530870768,0.469491057699012,0.134220893900285,0.256486890368157,0.458089933432957
8,"cauchy",1,"p-EWMA(0.2)",8000,8000,0,22.05875,19.8578344775122,0.222017338888281,21.623596015779,22.493903984221,0,"ECD",176.47,0.31925,0.309123085617646,0.329550423363341,0.709625,0.69957896660518,0.719469806174132,0.142125,0.391625,0.709625
8,"cauchy",50,"p-EWMA(0.2)",10000,7460,0.254,22.5183646112601,21.0171773414916,0.243335221344708,22.0414275774244,22.9953016450957,0,"ECD",180.14691689008,0.322117962466488,0.311607815378279,0.332811219452256,0.692359249329759,0.681789392519034,0.702731093553447,0.168364611260054,0.391018766756032,0.692359249329759
